PROGRAM_NAME,ALIAS,PROGRAM_VERSION,PROGRAM_INSTALL
just,justfile,,"cargo install just"
typos,typos-cli,,"cargo install typos-cli"
committed,,,"cargo install committed"
xsv,,,"cargo install xsv"
nextest,cargo-nextest,,"cargo install cargo-nextest --locked"
